OurAffLink,Title,Image,Price,Merchant,Points,Team,Type,Season,ID
http://www.awin1.com/pclick.php?p=3517681123&a=215431&m=6716,2012-13 Liverpool Home Shirt *BNIB* XL.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-12-home-boys-tags_1_1_1.jpg,22.99,classic football shirts,0,Liverpool,shirt,2012,53
http://www.awin1.com/pclick.php?p=3517681389&a=215431&m=6716,2012-13 Chelsea Home L/S Shirt *BNIB* L.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-12-home-boys-ls-tags.jpg,24.99,classic football shirts,0,Chelsea,shirt,2012,54
http://www.awin1.com/pclick.php?p=3517681407&a=215431&m=6716,2012-13 Liverpool Away Shirt *BNIB* Womens (M),https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-12-away-womens-tags.jpg,12.99,classic football shirts,0,Liverpool,shirt,2012,55
http://www.awin1.com/pclick.php?p=3517681409&a=215431&m=6716,2012-13 Liverpool Third L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-12-third-ls-tags_4_1.jpg,9.99,classic football shirts,0,Liverpool,shirt,2012,56
http://www.awin1.com/pclick.php?p=3517681649&a=215431&m=6716,2014-15 Liverpool Third L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-14-third-ls-tags_2_1.jpg,19.99,classic football shirts,0,Liverpool,shirt,2014,57
http://www.awin1.com/pclick.php?p=3517681685&a=215431&m=6716,2013-14 Chelsea Adidas Polo T-shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-13-polo-blue-tags.jpg,19.99,classic football shirts,0,Chelsea,shirt,2013,58
http://www.awin1.com/pclick.php?p=3517681689&a=215431&m=6716,2013-14 Chelsea Home Shirt *BNIB* XS.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-13-home-boys-tag_1.jpg,14.99,classic football shirts,0,Chelsea,shirt,2013,59
http://www.awin1.com/pclick.php?p=3517681803&a=215431&m=6716,2012-13 Chelsea Third Shirt *BNIB* M.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-12-third-boys-tags.jpg,8.99,classic football shirts,0,Chelsea,shirt,2012,60
http://www.awin1.com/pclick.php?p=3517681805&a=215431&m=6716,2012-13 Chelsea Third Shirt *BNIB* L.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-12-third-boys-tags_1.jpg,8.99,classic football shirts,0,Chelsea,shirt,2012,61
http://www.awin1.com/pclick.php?p=3517681807&a=215431&m=6716,2012-13 Chelsea Home Shirt *BNIB* L.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-12-home-boys-tags.jpg,8.99,classic football shirts,0,Chelsea,shirt,2012,62
